title,publishedAt,duration,views,likes,comments,duration_sec,publish_hour,publish_day,cluster
Must Use Python libraries for Data Analysis 🔥,2024-11-24 11:30:25+00:00,PT8M7S,48254,1920,227,487.0,11,Sunday,1
What Do Software Engineers Actually Do? (It’s Not What You Think),2024-11-21 11:30:15+00:00,PT13M7S,291138,12462,624,787.0,11,Thursday,1
How I would learn to code (If I could start over),2024-11-18 11:30:25+00:00,PT13M14S,290988,16419,827,794.0,11,Monday,1
Ultimate WordPress Tutorial 2025: Build Your Site in Just 40 Minutes! 🔥,2024-11-15 13:18:27+00:00,PT41M31S,513739,13295,764,2491.0,13,Friday,1
My Last Video | Sigma Web Development Course - Tutorial #139,2024-11-11 11:30:25+00:00,PT8M27S,531825,35671,3005,507.0,11,Monday,1
Deploying our Next.js App to Vercel | Sigma Web Development Course - Tutorial #138,2024-11-10 05:30:11+00:00,PT18M58S,76492,1486,228,1138.0,5,Sunday,1
Ultimate Web Scraping tutorial,2024-11-08 11:30:02+00:00,PT41M31S,123432,3217,215,2491.0,11,Friday,1
[Project] Let's Build a LinkTree Clone in Next.js 15 | Sigma Web Development Course - Tutorial #137,2024-11-05 14:46:33+00:00,PT1H53M49S,72881,1349,200,6829.0,14,Tuesday,1
[Project] Let's Build a Url Shortener in Next.js 15 | Sigma Web Development Course - Tutorial #136,2024-11-03 15:21:38+00:00,PT56M16S,61528,1476,223,3376.0,15,Sunday,1
Add AI to your Existing Applications using this AI Tool 🔥,2024-10-24 11:30:27+00:00,PT20M56S,40494,1513,192,1256.0,11,Thursday,1
Styled JSX and other ways to Style in Next.js | Sigma Web Development Course - Tutorial #135,2024-10-21 11:30:23+00:00,PT8M34S,29422,969,211,514.0,11,Monday,1
The Best Network monitoring and device blocking app for PC and mobile | Trying the Fing Wifi app 🔥,2024-10-20 11:30:37+00:00,PT16M56S,34772,1164,127,1016.0,11,Sunday,1
Environment Variables in Next.js | Sigma Web Development Course - Tutorial #134,2024-10-19 12:47:37+00:00,PT11M15S,22908,922,167,675.0,12,Saturday,1
This AI Image API is amazing!,2024-10-18 11:30:36+00:00,PT28M10S,27008,1109,103,1690.0,11,Friday,1
"SSR, SSG & ISR in Next.js | Sigma Web Development Course - Tutorial #133",2024-10-17 14:30:11+00:00,PT14M18S,31274,1291,241,858.0,14,Thursday,1
Is AI & ML Worth the Hype?,2024-10-16 14:15:47+00:00,PT11M14S,152027,6449,511,674.0,14,Wednesday,1
Understanding next/navigation module in Next.js | Sigma Web Development Course - Tutorial #132,2024-10-15 11:30:12+00:00,PT12M50S,23831,933,213,770.0,11,Tuesday,1
Strapi 5 Crash Course for Beginners 🔥,2024-10-11 11:30:09+00:00,PT1H15M22S,42054,991,142,4522.0,11,Friday,1
AI for Testing 🔥,2024-10-10 17:00:37+00:00,PT53S,69256,3753,60,53.0,17,Thursday,1
How to Scrape Amazon Using AI (with least manual coding) 🔥,2024-10-10 11:30:27+00:00,PT12M31S,19069,763,107,751.0,11,Thursday,1
Host & Test Free Llama Models on your own Server + Kusho AI for Gen AI Testing,2024-10-09 11:30:19+00:00,PT15M44S,20264,770,97,944.0,11,Wednesday,1
I Built an AI Agent to Help me Get a Job 🔥,2024-10-06 05:30:21+00:00,PT22M54S,37917,1637,144,1374.0,5,Sunday,1
How to Build a Website in 10 Minutes Using WordPress & AI (No Coding Required)🔥,2024-10-05 05:30:06+00:00,PT11M32S,106857,2841,220,692.0,5,Saturday,1
AI assisted academic writing 🔥 #ai_thor,2024-10-04 12:13:52+00:00,PT56S,84066,7746,50,56.0,12,Friday,1
Should You Learn Multiple Programming Languages? (The Truth),2024-10-03 11:30:24+00:00,PT8M29S,139043,6546,731,509.0,11,Thursday,1
Best Data Analyst Learning Resources in 2025,2024-09-29 11:00:21+00:00,PT10M17S,286963,10935,450,617.0,11,Sunday,1
HTML Full Course (in Hindi),2024-09-28 12:56:12+00:00,PT2H39M30S,1475605,34252,5288,9570.0,12,Saturday,0
Instagram Comments & Posts Automation using Make 🔥,2024-09-26 11:57:50+00:00,PT16M47S,29940,1171,137,1007.0,11,Thursday,1
I Created SEO Friendly Blogs using AI (Experiment),2024-09-24 11:30:07+00:00,PT19M28S,65989,2309,194,1168.0,11,Tuesday,1
India's E-Commerce Tech #meesho #api #coding #tech,2024-09-13 11:30:04+00:00,PT58S,73249,5348,84,58.0,11,Friday,1
Complete CyberSecurity Roadmap 2025 (Beginner's Guide),2024-09-11 11:46:10+00:00,PT15M4S,457023,18974,850,904.0,11,Wednesday,1
How I Created AI Agents That Do My Work For Me 🔥,2024-09-08 05:30:11+00:00,PT21M40S,342496,10006,557,1300.0,5,Sunday,1
"Lets build a Markdown blog using Next.js, Shadcn, Tailwind, Pieces, Remark & Rehype 🔥",2024-09-05 14:24:12+00:00,PT2H29M50S,97764,2401,274,8990.0,14,Thursday,1
Fastest Way to Build an E-Commerce Website (For now) 🔥,2024-09-04 05:30:02+00:00,PT22M58S,59562,2210,276,1378.0,5,Wednesday,1
College doesn't teach you the skills needed in the industry #skillsmatter  #simplilearn,2024-08-30 10:56:48+00:00,PT57S,416750,13907,289,57.0,10,Friday,1
What is low-code? | Let's build a low-code app with Zoho Creator,2024-08-29 14:30:06+00:00,PT24M30S,2232860,28634,268,1470.0,14,Thursday,0
TRUTH about Colleges!,2024-08-28 11:59:40+00:00,PT9M22S,96193,5679,670,562.0,11,Wednesday,1
Predis.AI: Your Social Media Co-Pilot 🔥,2024-08-24 02:30:05+00:00,PT1M,71327,5791,67,60.0,2,Saturday,1
What is an Anti Detection Browser | Anti Detection browser demo using Gologin Browser  🔥,2024-08-23 06:00:30+00:00,PT10M46S,58039,1691,194,646.0,6,Friday,1
Which Technology to use for Game Development?,2024-08-21 05:55:29+00:00,PT6M50S,49219,2597,280,410.0,5,Wednesday,1
Python vs JavaScript | What to Choose? | ft. Toolify.ai,2024-08-19 07:11:49+00:00,PT9M23S,331111,11911,659,563.0,7,Monday,1
Generative AI Roadmap For Absolute Beginners 🔥,2024-08-17 07:31:31+00:00,PT15M13S,515537,17459,889,913.0,7,Saturday,1
2024 Generative AI Roadmap For Absolute Beginners 🔥,2024-08-17 05:30:06+00:00,PT15M19S,14713,1181,183,919.0,5,Saturday,1
How to build a Website using Wordpress & AI in 5 Minutes?,2024-08-14 02:30:06+00:00,PT10M13S,144804,3754,274,613.0,2,Wednesday,1
Make AI Text Sound Human(Free AI) #coding #aitools #aidetection #aihumanizer,2024-08-13 15:55:22+00:00,PT1M1S,69235,5226,78,61.0,15,Tuesday,1
AI Advertisements: Url to Video Ad using @joggai,2024-08-11 11:30:32+00:00,PT59S,114948,10283,87,59.0,11,Sunday,1
"How much HTML, CSS and JavaScript is Enough to get a Job 🔥",2024-08-08 14:30:06+00:00,PT14M32S,551623,24388,1046,872.0,14,Thursday,1
AI Coding Buddy: AI Assistance Like a Friend Beside You | Pieces for Developers,2024-08-07 11:30:31+00:00,PT15M30S,81324,3802,583,930.0,11,Wednesday,1
Which Operating System I use and Why 💻,2024-08-05 14:30:18+00:00,PT14M57S,248067,9038,1376,897.0,14,Monday,1
How to Build an E-Commerce Website in 15 Minutes | eCommerce Hosting by Elementor 🔥,2024-07-31 17:29:21+00:00,PT16M37S,53549,2052,297,997.0,17,Wednesday,1
Can AI Create Video Ads? - Let's Find out! | URL to Ads using @joggai,2024-07-30 11:30:11+00:00,PT21M30S,81638,2828,224,1290.0,11,Tuesday,1
Microsoft Special Boarding Pass ✈️,2024-07-20 11:42:58+00:00,PT57S,795969,53150,348,57.0,11,Saturday,0
Amazing AI for your Desktop 🔥,2024-07-17 14:41:22+00:00,PT1M,401678,37797,236,60.0,14,Wednesday,1
How to become a Data Analyst? | Complete Roadmap for Data Analyst🔥,2024-07-16 11:30:17+00:00,PT15M20S,1145262,39970,1448,920.0,11,Tuesday,0
C Language Tutorial for Beginners (With Notes + Surprise) 🔥,2024-07-09 15:25:30+00:00,PT10H3M19S,4571524,81157,35471,36199.0,15,Tuesday,2
Write Undetectable AI & Plagiarism-Free Essays Online with the Best AI Essay Writing Copilot 🔥,2024-07-01 11:30:12+00:00,PT9M,39871,1200,324,540.0,11,Monday,1
Project Management Roadmap for Beginners | Project Management Learning Path For 2025 🔥,2024-06-29 05:30:07+00:00,PT16M37S,238999,7270,416,997.0,5,Saturday,1
Selenium Tutorial for Beginners using Python | Selenium for Web Scraping (With Project),2024-06-26 12:05:02+00:00,PT36M55S,222268,4534,365,2215.0,12,Wednesday,1
MalCare: WordPress Security for High Performance Websites,2024-06-23 11:30:06+00:00,PT11M53S,18504,669,149,713.0,11,Sunday,1
Create Undetectable AI Content Online with this tool 🔥,2024-06-21 11:30:27+00:00,PT8M23S,51296,2294,261,503.0,11,Friday,1
Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,2024-06-16 05:36:24+00:00,PT10H53M55S,11743038,256016,33997,39235.0,5,Sunday,2
Let's Build an E-Commerce Website using WordPress | ShopPress E-Commerce Tutorial 🔥,2024-06-09 11:30:07+00:00,PT36M23S,87111,2330,258,2183.0,11,Sunday,1
"Docker in 2025 | Docker Scout, Docker Build Cloud, Docker Debug & many more new features 🔥",2024-05-25 10:48:01+00:00,PT28M45S,58230,1545,325,1725.0,10,Saturday,1
How to make an E-commerce Website in 10 Minutes (Grocery Online Store) | WordPress Ecommerce Website,2024-05-20 07:41:17+00:00,PT9M59S,134989,3104,289,599.0,7,Monday,1
This is How Hackers Crack Passwords! (Don't Try),2024-05-19 07:24:10+00:00,PT8M27S,2661049,55856,1922,507.0,7,Sunday,0
Train Your Own Custom AI Chatbot on Custom Data - CustomGPT Tutorial 🔥,2024-05-17 14:25:42+00:00,PT14M51S,70241,2443,204,891.0,14,Friday,1
A Mystery box from a Tech Brand | BenQ RD240Q Review🔥,2024-05-16 16:02:09+00:00,PT10M15S,35594,1477,132,615.0,16,Thursday,1
AI & ML Roadmap - Complete Roadmap for Machine Learning + PDF Download📜,2024-05-11 12:00:07+00:00,PT8M40S,736259,27320,990,520.0,12,Saturday,1
